instance_id,base_commit,patch_added_lines,patch_deleted_lines,patch_total_changes,patch_net_changes,files_changed,has_function_changes,test_patch_total_changes,total_changes
django__django-11019,93e892bb645b16ebaf287beb5fe7f3ffe8d10408,36,40,76,-4,1,True,127,203
django__django-16820,c61219a7ae051d2baab53f041e00592011fc550c,65,0,65,65,1,False,321,386
django__django-11564,580e644f24f1c5ae5b94784fb73a9953a178fd26,30,1,31,29,1,True,51,82
django__django-11283,08a4ee06510ae45562c228eefbdcaac84bd38c7a,25,5,30,20,1,False,25,55
django__django-13265,b2b0711b555fa292751763c2df4fe577c396f265,13,14,27,-1,1,False,109,136
django__django-13401,453967477e3ddae704cd739eac2449c0e13d464c,23,3,26,20,1,False,30,56
django__django-11630,65e86948b80262574058a94ccaae3a9b59c3faea,16,4,20,12,1,False,60,80
django__django-13220,16218c20606d8cd89c5393970c83da04598a3e04,20,0,20,20,1,True,269,289
django__django-13757,3f140dde51c0fe6c350acb7727bbe489a99f0632,15,4,19,11,1,False,4,23
django__django-15996,b30c0081d4d8a31ab7dc7f72a4c7099af606ef29,15,2,17,13,1,False,8,25
django__django-11742,fee75d2aed4e58ada6567c464cfd22e89dc65f4a,17,0,17,17,1,False,26,43
django__django-16041,6df9398cce063874ae4d59db126d4adacb0fa8d3,8,7,15,1,1,False,4,19
django__django-12589,895f28f9cbed817c00ab68770433170d83132d90,14,1,15,13,1,False,17,32
django__django-16400,0bd2c0c9015b53c41394a1c0989afbfd94dc2830,10,5,15,5,1,False,19,34
django__django-12453,b330b918e979ea39a21d47b61172d112caf432c3,11,2,13,9,1,False,29,42
django__django-15202,4fd3044ca0135da903a70dfb66992293f529ecf1,7,6,13,1,1,False,4,17
django__django-14155,2f13c476abe4ba787b6cb71131818341911f43cc,10,3,13,7,1,False,24,37
django__django-11905,2f72480fbd27896c986c45193e1603e35c0b19a7,13,0,13,13,1,False,36,49
django__django-14752,b64db05b9cedd96905d637a2d824cbbf428e40e7,10,2,12,8,1,True,24,36
django__django-15819,877c800f255ccaa7abde1fb944de45d1616f5cc9,10,2,12,8,1,False,10,22
django__django-13448,7b9596b974fb0ad1868b10c8c2174e10b72be403,11,1,12,10,1,False,62,74
django__django-13315,36bc47069ce071e80c8129500de3b8664d2058a7,10,2,12,8,1,False,76,88
django__django-12983,3bc4240d979812bd11365ede04c028ea13fdc8c6,6,5,11,1,1,False,7,18
django__django-14999,a754b82dac511475b6276039471ccd17cc64aeb8,6,5,11,1,1,False,22,33
django__django-13551,7f9e4524d6b23424cf44fbe1bf1f4e70f6bb066e,6,4,10,2,1,False,37,47
django__django-11848,f0adf3b9b7a19cdee05368ff0c0c2d087f011180,7,3,10,4,1,False,25,35
django__django-14730,4fe3774c729f3fd5105b3001fe69a70bdca95ac3,10,0,10,10,1,False,22,32
django__django-11422,df46b329e0900e9e4dc1d60816c1dce6dfc1094e,9,1,10,8,1,False,4,14
django__django-16229,04b15022e8d1f49af69d8a1e6cd678f31f1280ff,9,1,10,8,1,False,40,50
django__django-16408,ef85b6bf0bc5a8b194f0724cf5bbedbcee402b96,8,1,9,7,1,True,20,29
django__django-13321,35b03788b0607c1f8d2b64e4fa9e1669b0907ea4,9,0,9,9,1,False,15,24
django__django-15213,03cadb912c78b769d6bf4a943a2a35fc1d952960,9,0,9,9,1,True,20,29
django__django-13768,965d2d95c630939b53eb60d9c169f5dfc77ee0c6,9,0,9,9,1,True,29,38
django__django-12286,979f61abd322507aafced9627702362e541ec34e,6,3,9,3,1,False,34,43
django__django-16910,4142739af1cda53581af4169dbe16d6cd5e26948,7,1,8,6,1,False,35,43
django__django-15252,361bb8f786f112ee275be136795c0b1ecefff928,6,2,8,4,1,False,43,51
django__django-12915,4652f1f0aa459a7b980441d629648707c32e36bf,8,0,8,8,1,True,71,79
django__django-11964,fc2b1cc926e34041953738e58fa6ad3053059b22,7,1,8,6,1,True,6,14
django__django-11999,84633905273fc916e3d17883810d9969c03f73c2,6,2,8,4,1,False,10,18
django__django-15790,c627226d05dd52aef59447dcfb29cec2c2b11b8a,4,4,8,0,1,False,13,21
django__django-14667,6a970a8b4600eb91be25f38caed0a52269d6303d,6,1,7,5,1,False,8,15
django__django-14608,7f33c1e22dbc34a7afae7967783725b10f1f13b1,5,2,7,3,1,False,19,26
django__django-11815,e02f67ef2d03d48128e7a118bf75f0418e24e8ac,4,3,7,1,1,False,46,53
django__django-12708,447980e72ac01da1594dd3373a03ba40b7ee6f80,6,1,7,5,1,False,37,44
django__django-14016,1710cdbe79c90665046034fe1700933d038d90ad,4,3,7,1,1,False,8,15
django__django-17051,b7a17b0ea0a2061bae752a3a2292007d41825814,6,1,7,5,1,False,37,44
django__django-13710,1bd6a7a0acc11e249fca11c017505ad39f15ebf6,5,2,7,3,1,False,49,56
django__django-16816,191f6a9a4586b5e5f79f4f42f190e7ad4bbacc84,4,3,7,1,1,False,24,31
django__django-13658,0773837e15bb632afffb6848a58c59a791008fa1,6,1,7,5,1,False,17,24
django__django-13033,a59de6e89e8dc1f3e71c9a5a5bbceb373ea5247e,6,1,7,5,1,False,17,24
django__django-12284,c5e373d48cbdd923575956fed477b63d66d9603f,5,1,6,4,1,False,13,19
django__django-13933,42e8cf47c7ee2db238bf91197ea398126c546741,5,1,6,4,1,False,13,19
django__django-11620,514efa3129792ec2abb2444f3e7aeb3f21a38386,3,3,6,0,1,False,7,13
django__django-12747,c86201b6ed4f8256b0a0520c08aa674f623d4127,4,2,6,2,1,False,7,13
django__django-12856,8328811f048fed0dd22573224def8c65410c9f2e,6,0,6,6,1,False,67,73
django__django-14855,475cffd1d64c690cdad16ede4d5e81985738ceb4,5,1,6,4,1,False,16,22
django__django-14997,0d4e575c96d408e0efb4dfd0cbfc864219776950,1,5,6,-4,1,False,61,67
django__django-11797,3346b78a8a872286a245d1e77ef4718fc5e6be1a,3,3,6,0,1,False,13,19
django__django-16595,f9fe062de5fc0896d6bbbf3f260b5c44473b3c77,3,3,6,0,1,False,18,24
