instance_id,base_commit,patch_added_lines,patch_deleted_lines,patch_total_changes,patch_net_changes,files_changed,has_function_changes,test_patch_total_changes,total_changes
matplotlib__matplotlib-24265,e148998d9bed9d1b53a91587ad48f9bb43c7737f,41,28,69,13,1,True,2,71
matplotlib__matplotlib-18869,b7d05919865fc0c37a0164cf467d5d5513bd0ede,51,16,67,35,1,True,10,77
matplotlib__matplotlib-25442,73394f2b11321e03a5df199ec0196f27a728b0b0,14,17,31,-3,1,True,8,39
matplotlib__matplotlib-22711,f670fe78795b18eb1118707721852209cd77ad51,20,4,24,16,1,False,13,37
matplotlib__matplotlib-24970,a3011dfd1aaa2487cce8aa7369475533133ef777,11,10,21,1,1,False,7,28
matplotlib__matplotlib-22835,c33557d120eefe3148ebfcf2e758ff2357966000,15,4,19,11,1,False,163,182
matplotlib__matplotlib-25332,66ba515e671638971bd11a34cff12c107a437e0b,13,0,13,13,1,True,4,17
matplotlib__matplotlib-26020,f6a781f77f5ddf1204c60ca7c544809407d4a807,10,3,13,7,1,False,4,17
matplotlib__matplotlib-26011,00afcc0c6d4d2e4390338127f05b8f4fdb4e7087,7,5,12,2,1,False,9,21
matplotlib__matplotlib-23562,29a86636a9c45ab5ac4d80ac76eaee497f460dce,10,0,10,10,1,False,22,32
matplotlib__matplotlib-23913,5c4595267ccd3daf78f5fd05693b7ecbcd575c1e,7,1,8,6,1,False,8,16
matplotlib__matplotlib-25079,66f7956984cbfc3647e867c6e5fde889a89c64ef,6,2,8,4,1,False,5,13
matplotlib__matplotlib-25498,78bf53caacbb5ce0dc7aa73f07a74c99f1ed919b,3,5,8,-2,1,False,6,14
matplotlib__matplotlib-24149,af39f1edffcd828f05cfdd04f2e59506bb4a27bc,8,0,8,8,1,False,13,21
matplotlib__matplotlib-23964,269c0b94b4fcf8b1135011c1556eac29dc09de15,3,2,5,1,1,False,9,14
matplotlib__matplotlib-23987,e98d8d085e8f53ec0467422b326f7738a2dd695e,4,1,5,3,1,False,11,16
matplotlib__matplotlib-23299,3eadeacc06c9f2ddcdac6ae39819faa9fbee9e39,4,1,5,3,1,False,7,12
matplotlib__matplotlib-25311,430fb1db88843300fb4baae3edc499bbfe073b0c,3,1,4,2,1,True,12,16
matplotlib__matplotlib-24334,332937997d03e0c173be6d9fc1841e9186e857df,3,0,3,3,1,False,11,14
matplotlib__matplotlib-23476,33a0599711d26dc2b79f851c6daed4947df7c167,3,0,3,3,1,False,9,12
matplotlib__matplotlib-23314,97fc1154992f64cfb2f86321155a7404efeb2d8a,2,0,2,2,1,False,14,16
matplotlib__matplotlib-23563,149a0398b391cfc4eddb5e659f50b3c66f32ea65,1,0,1,1,1,False,7,8
matplotlib__matplotlib-25433,7eafdd8af3c523c1c77b027d378fb337dd489f18,1,0,1,1,1,False,10,11
