repo,repo,instance_id,base_commit,patch_added_lines,patch_deleted_lines,patch_total_changes,patch_net_changes,test_patch_added_lines,test_patch_deleted_lines,test_patch_total_changes,files_changed,has_function_changes,total_added_lines,total_deleted_lines,total_changes,change_type,Checker 0807 (Pass@1 ),,,,Checker 0803 (Pass@1 ),Siada Agent 0724,Siada Agent 0725£¨²î¼¯ÔËÐÐ£©,Siada Agent 0729£¨²î¼¯ÔËÐÐ£©,Siada Agent 0730£¨²î¼¯ÔËÐÐ£©,Siada Agent 0731(pass @1),Checker 0807 (Pass@1 )
astropy/astropy,astropy__astropy,astropy__astropy-12907,d16bfe05a744909de4b27f5875fe0d4ed41ce607,1,1,2,0,18,1,19,1,FALSE,19,2,21,å¹³è¡¡___,0,0,0,0,0,0,0,0,0,1,0
astropy/astropy,astropy__astropy,astropy__astropy-14182,a5917978be39d13cd90b517e1de4e7a539ffaa48,31,10,41,21,28,0,28,1,TRUE,59,10,69,ä¸»èæ·»å_,1,31,10,41,1,1,1,1,1,0,1
astropy/astropy,astropy__astropy,astropy__astropy-14365,7269fa3e33e8d02485a647da91a5a2a60a06af61,2,2,4,0,14,1,15,1,FALSE,16,3,19,å¹³è¡¡___,1,2,2,4,1,1,1,1,1,0,1
astropy/astropy,astropy__astropy,astropy__astropy-14995,b16c7d12ccbc7b2d20364b89fb44285bcbfede54,2,2,4,0,39,0,39,1,FALSE,41,2,43,å¹³è¡¡___,0,0,0,0,1,0,0,0,0,1,0
astropy/astropy,astropy__astropy,astropy__astropy-6938,c76af9ed6bb89bfba45b9f5bc1e635188278e2fa,1,1,2,0,15,2,17,1,FALSE,16,3,19,å¹³è¡¡___,0,0,0,0,0,0,0,0,0,1,0
astropy/astropy,astropy__astropy,astropy__astropy-7746,d5bd3f68bb6d5ce3a61bdce9883ee750d1afade5,5,0,5,5,18,0,18,1,FALSE,23,0,23,ä»_·»_,1,5,0,5,1,1,1,1,1,0,1
django/django,django__django,django__django-10914,e7fd69d051eaa67cb17f172a39b57253e9cb831a,1,1,2,0,1,1,2,1,FALSE,2,2,4,å¹³è¡¡___,1,1,1,2,1,1,1,1,1,1,1
django/django,django__django,django__django-10924,bceadd2788dc2dad53eba0caae172bd8522fd483,1,1,2,0,22,0,22,1,FALSE,23,1,24,å¹³è¡¡___,0,0,0,0,1,1,1,1,1,0,0
django/django,django__django,django__django-11001,ef082ebb84f00e38af4e8880d04e8365c2766d34,2,1,3,1,23,0,23,1,FALSE,25,1,26,ä¸»èæ·»å_,1,2,1,3,1,1,1,1,1,1,1
django/django,django__django,django__django-11019,93e892bb645b16ebaf287beb5fe7f3ffe8d10408,36,40,76,-4,72,55,127,1,TRUE,108,95,203,ä¸»è___,0,0,0,0,0,0,0,0,0,0,0
django/django,django__django,django__django-11039,d5276398046ce4a102776a1e67dcac2884d80dfe,3,2,5,1,29,10,39,1,FALSE,32,12,44,ä¸»èæ·»å_,1,3,2,5,1,1,1,1,1,1,1
django/django,django__django,django__django-11049,17455e924e243e7a55e8a38f45966d8cbb27c273,1,1,2,0,1,1,2,1,FALSE,2,2,4,å¹³è¡¡___,1,1,1,2,1,0,1,1,1,1,1
django/django,django__django,django__django-11099,d26b2424437dabeeca94d7900b37d2df4410da0c,2,2,4,0,2,2,4,1,FALSE,4,4,8,å¹³è¡¡___,1,2,2,4,1,1,1,1,1,1,1
django/django,django__django,django__django-11133,879cc3da6249e920b8d54518a0ae06de835d7373,1,1,2,0,4,0,4,1,FALSE,5,1,6,å¹³è¡¡___,1,1,1,2,1,1,1,1,1,1,1
django/django,django__django,django__django-11179,19fc6376ce67d01ca37a91ef2f55ef769f50513a,1,0,1,1,9,0,9,1,FALSE,10,0,10,ä»_·»_,1,1,0,1,1,1,1,1,1,1,1
django/django,django__django,django__django-11283,08a4ee06510ae45562c228eefbdcaac84bd38c7a,25,5,30,20,25,0,25,1,FALSE,50,5,55,ä¸»èæ·»å_,0,0,0,0,0,0,0,0,0,0,0
django/django,django__django,django__django-11422,df46b329e0900e9e4dc1d60816c1dce6dfc1094e,9,1,10,8,4,0,4,1,FALSE,13,1,14,ä¸»èæ·»å_,1,9,1,10,1,1,1,1,1,1,1
django/django,django__django,django__django-11564,580e644f24f1c5ae5b94784fb73a9953a178fd26,30,1,31,29,50,1,51,1,TRUE,80,2,82,ä¸»èæ·»å_,0,0,0,0,0,0,0,0,0,0,0
django/django,django__django,django__django-11583,60dc957a825232fdda9138e2f8878b2ca407a7c9,4,0,4,4,11,0,11,1,FALSE,15,0,15,ä»_·»_,1,4,0,4,1,1,1,1,1,1,1
django/django,django__django,django__django-11620,514efa3129792ec2abb2444f3e7aeb3f21a38386,3,3,6,0,7,0,7,1,FALSE,10,3,13,å¹³è¡¡___,1,3,3,6,0,1,1,1,1,1,1
django/django,django__django,django__django-11630,65e86948b80262574058a94ccaae3a9b59c3faea,16,4,20,12,58,2,60,1,FALSE,74,6,80,ä¸»èæ·»å_,0,0,0,0,0,0,0,0,0,0,0
django/django,django__django,django__django-11742,fee75d2aed4e58ada6567c464cfd22e89dc65f4a,17,0,17,17,26,0,26,1,FALSE,43,0,43,ä»_·»_,0,0,0,0,0,0,0,0,0,0,0
django/django,django__django,django__django-11797,3346b78a8a872286a245d1e77ef4718fc5e6be1a,3,3,6,0,13,0,13,1,FALSE,16,3,19,å¹³è¡¡___,0,0,0,0,0,0,0,0,0,1,0
django/django,django__django,django__django-11815,e02f67ef2d03d48128e7a118bf75f0418e24e8ac,4,3,7,1,33,13,46,1,FALSE,37,16,53,ä¸»èæ·»å_,1,4,3,7,1,1,1,1,1,1,1
django/django,django__django,django__django-11848,f0adf3b9b7a19cdee05368ff0c0c2d087f011180,7,3,10,4,22,3,25,1,FALSE,29,6,35,ä¸»èæ·»å_,0,0,0,0,1,0,0,0,0,0,0
django/django,django__django,django__django-11905,2f72480fbd27896c986c45193e1603e35c0b19a7,13,0,13,13,35,1,36,1,FALSE,48,1,49,ä»_·»_,0,0,0,0,0,0,0,0,0,0,0
django/django,django__django,django__django-11910,d232fd76a85870daf345fd8f8d617fe7802ae194,4,0,4,4,24,0,24,1,FALSE,28,0,28,ä»_·»_,1,4,0,4,0,0,0,0,0,0,1
django/django,django__django,django__django-11964,fc2b1cc926e34041953738e58fa6ad3053059b22,7,1,8,6,6,0,6,1,TRUE,13,1,14,ä¸»èæ·»å_,0,0,0,0,1,0,0,0,1,1,0
django/django,django__django,django__django-11999,84633905273fc916e3d17883810d9969c03f73c2,6,2,8,4,10,0,10,1,FALSE,16,2,18,ä¸»èæ·»å_,1,6,2,8,1,1,1,1,1,1,1
django/django,django__django,django__django-12113,62254c5202e80a68f4fe6572a2be46a3d953de1a,2,0,2,2,18,0,18,1,FALSE,20,0,20,ä»_·»_,1,2,0,2,1,0,0,0,0,1,1
django/django,django__django,django__django-12125,89d41cba392b759732ba9f1db4ff29ed47da6a56,1,1,2,0,21,4,25,1,FALSE,22,5,27,å¹³è¡¡___,1,1,1,2,1,1,1,1,1,1,1
django/django,django__django,django__django-12184,5d674eac871a306405b0fbbaeb17bbeba9c68bf3,2,1,3,1,15,0,15,1,FALSE,17,1,18,ä¸»èæ·»å_,1,2,1,3,1,1,1,1,1,1,1
django/django,django__django,django__django-12284,c5e373d48cbdd923575956fed477b63d66d9603f,5,1,6,4,13,0,13,1,FALSE,18,1,19,ä¸»èæ·»å_,1,5,1,6,1,1,1,1,1,1,1
django/django,django__django,django__django-12286,979f61abd322507aafced9627702362e541ec34e,6,3,9,3,29,5,34,1,FALSE,35,8,43,ä¸»èæ·»å_,1,6,3,9,1,1,1,1,1,1,1
django/django,django__django,django__django-12308,2e0f04507b17362239ba49830d26fec504d46978,5,0,5,5,17,0,17,1,FALSE,22,0,22,ä»_·»_,0,0,0,0,1,0,0,1,1,0,0
django/django,django__django,django__django-12453,b330b918e979ea39a21d47b61172d112caf432c3,11,2,13,9,29,0,29,1,FALSE,40,2,42,ä¸»èæ·»å_,1,11,2,13,1,1,1,1,1,1,1
