instance_id,base_commit,patch_added_lines,patch_deleted_lines,patch_total_changes,patch_net_changes,files_changed,has_function_changes,test_patch_total_changes,total_changes
scikit-learn__scikit-learn-25500,4db04923a754b6a2defa1b172f55d492b85d165e,26,15,41,11,1,True,22,63
scikit-learn__scikit-learn-25638,6adb209acd63825affc884abcd85381f148fb1b0,29,6,35,23,1,False,70,105
scikit-learn__scikit-learn-10297,b90661d6a46aa3619d3eec94d5281f5888add501,20,14,34,6,1,False,38,72
scikit-learn__scikit-learn-11281,4143356c3c51831300789e4fdf795d83716dbab6,28,2,30,26,1,True,73,103
scikit-learn__scikit-learn-11040,96a02f3934952d486589dddd3f00b40d5a5ab5f2,17,0,17,17,1,False,16,33
scikit-learn__scikit-learn-10949,3b5abf76597ce6aff76192869f92647c1b5259e7,16,0,16,16,1,False,33,49
scikit-learn__scikit-learn-13497,26f690961a52946dd2f53bf0fdd4264b2ae5be90,8,6,14,2,1,False,18,32
scikit-learn__scikit-learn-14894,fdbaa58acbead5a254f2e6d597dc1ab3b947f4c6,8,5,13,3,1,False,13,26
scikit-learn__scikit-learn-14092,df7dd8391148a873d157328a4f0328528a0c4ed9,6,4,10,2,1,False,16,26
scikit-learn__scikit-learn-13496,3aefc834dce72e850bff48689bea3c7dff5f3fad,9,1,10,8,1,False,22,32
scikit-learn__scikit-learn-13142,1c8668b0a021832386470ddf740d834e02c66f69,5,5,10,0,1,False,18,28
scikit-learn__scikit-learn-14087,a5743ed36fbd3fbc8e351bdab16561fbfca7dfa1,6,3,9,3,1,False,12,21
scikit-learn__scikit-learn-12471,02dc9ed680e7f53f1b0d410dcdd37341c7958eb1,8,1,9,7,1,False,17,26
scikit-learn__scikit-learn-10508,c753b77ac49e72ebc0fe5e3c2369fe628f975017,7,0,7,7,1,False,15,22
scikit-learn__scikit-learn-13439,a62775e99f2a5ea3d51db7160fad783f6cd8a4c5,6,0,6,6,1,True,1,7
scikit-learn__scikit-learn-13241,f8b108d0c6f2f82b2dc4e32a6793f9d9ac9cf2f4,5,0,5,5,1,False,31,36
scikit-learn__scikit-learn-14983,06632c0d185128a53c57ccc73b25b6408e90bb89,5,0,5,5,1,True,11,16
scikit-learn__scikit-learn-15512,b8a4da8baa1137f173e7035f104067c7d2ffde22,4,1,5,3,1,False,8,13
scikit-learn__scikit-learn-25570,cd25abee0ad0ac95225d4a9be8948eff69f49690,3,1,4,2,1,False,29,33
scikit-learn__scikit-learn-25747,2c867b8f822eb7a684f0d5c4359e4426e1c9cfe0,1,3,4,-2,1,False,34,38
scikit-learn__scikit-learn-15535,70b0ddea992c01df1a41588fa9e2d130fb6b13f8,2,2,4,0,1,False,4,8
scikit-learn__scikit-learn-13779,b34751b7ed02b2cfcc36037fb729d4360480a299,2,0,2,2,1,False,24,26
scikit-learn__scikit-learn-13584,0e3c1879b06d839171b7d0a607d71bbb19a966a9,1,1,2,0,1,False,4,6
