instance_id,base_commit,patch_added_lines,patch_deleted_lines,patch_total_changes,patch_net_changes,files_changed,has_function_changes,test_patch_total_changes,total_changes
sympy__sympy-19254,e0ef1da13e2ab2a77866c05246f73c871ca9388c,56,5,61,51,1,False,3,64
sympy__sympy-20322,ab864967e71c950a15771bb6c3723636026ba876,37,17,54,20,1,False,21,75
sympy__sympy-18199,ba80d1e493f21431b4bf729b3e0452cd47eb9566,47,3,50,44,1,True,18,68
sympy__sympy-14317,fb536869fb7aa28b2695ad7a3b70949926b291c4,44,1,45,43,1,False,11,56
sympy__sympy-14308,fb536869fb7aa28b2695ad7a3b70949926b291c4,31,8,39,23,1,False,36,75
sympy__sympy-20049,d57aaf064041fe52c0fa357639b069100f8b28e1,32,2,34,30,1,False,104,138
sympy__sympy-23191,fa9b4b140ec0eaf75a62c1111131626ef0f6f524,13,11,24,2,1,False,51,75
sympy__sympy-20639,eb926a1d0c1158bf43f01eaf673dc84416b5ebb1,12,12,24,0,1,True,51,75
sympy__sympy-21055,748ce73479ee2cd5c861431091001cc18943c735,23,0,23,23,1,True,6,29
sympy__sympy-20154,bdb49c4abfb35554a3c8ce761696ffff3bb837fe,4,19,23,-15,1,False,16,39
sympy__sympy-18835,516fa83e69caf1e68306cfc912a13f36c434d51c,19,2,21,17,1,True,4,25
sympy__sympy-16106,0e987498b00167fdd4a08a41c852a97cb70ce8f2,20,0,20,20,1,True,16,36
sympy__sympy-19007,f9e030b57623bebdc2efa7f297c1b5ede08fcebf,13,5,18,8,1,False,69,87
sympy__sympy-16792,09786a173e7a0a488f46dd6000177c23e5d24eed,11,5,16,6,1,True,19,35
sympy__sympy-23117,c5cef2499d6eed024b0db5c792d6ec7c53baa470,10,5,15,5,1,False,21,36
sympy__sympy-18087,9da013ad0ddc3cd96fe505f2e47c63e372040916,6,8,14,-2,1,False,5,19
sympy__sympy-11400,8dcb12a6cf500e8738d6729ab954a261758f49ca,14,0,14,14,1,True,22,36
sympy__sympy-15011,b7c5ba2bf3ffd5cf453b25af7c8ddd9a639800cb,10,4,14,6,1,True,8,22
sympy__sympy-14024,b17abcb09cbcee80a90f6750e0f9b53f0247656c,2,10,12,-8,1,False,8,20
sympy__sympy-13031,2dfa7457f20ee187fbb09b5b6a1631da4458388c,8,4,12,4,1,False,6,18
sympy__sympy-21379,624217179aaf8d094e6ff75b7493ad1ee47599b0,8,4,12,4,1,False,10,22
sympy__sympy-18698,3dff1b98a78f28c953ae2140b69356b8391e399c,6,5,11,1,1,False,7,18
sympy__sympy-15678,31c68eef3ffef39e2e792b0ec92cd92b7010eb2a,9,2,11,7,1,False,10,21
sympy__sympy-16503,a7e6f093c98a3c4783848a19fce646e32b6e0161,7,3,10,4,1,False,104,114
sympy__sympy-24909,d3b4158dea271485e3daa11bf82e69b8dab348ce,5,5,10,0,1,False,7,17
sympy__sympy-12419,479939f8c65c8c2908bbedc959549a257a7c0b0b,6,4,10,2,1,False,8,18
sympy__sympy-13437,674afc619d7f5c519b6a5393a8b0532a131e57e0,9,0,9,9,1,False,11,20
sympy__sympy-18532,74227f900b05009d4eed62e34a166228788a32ca,4,5,9,-1,1,False,6,15
sympy__sympy-24152,b9af885473ad7e34b5b0826cb424dd26d8934670,6,3,9,3,1,False,7,16
sympy__sympy-13895,4da0b64558e9551a11a99bccc63557ba34f50c58,4,4,8,0,1,False,14,22
sympy__sympy-13146,b678d8103e48fdb1af335dbf0080b3d5366f2d17,2,6,8,-4,1,False,3,11
sympy__sympy-12481,c807dfe7569692cad24f02a08477b70c1679a4dd,2,6,8,-4,1,False,2,10
sympy__sympy-13773,7121bdf1facdd90d05b6994b4c2e5b2865a4638a,8,0,8,8,1,False,24,32
sympy__sympy-15308,fb59d703e6863ed803c98177b59197b5513332e9,8,0,8,8,1,True,32,40
sympy__sympy-14396,f35ad6411f86a15dd78db39c29d1e5291f66f9b5,6,2,8,4,1,False,10,18
sympy__sympy-16281,41490b75f3621408e0468b0e7b6dc409601fc6ff,3,4,7,-1,1,False,61,68
sympy__sympy-11870,5c2e1f96a7ff562d4a778f4ca9ffc9c81557197e,6,1,7,5,1,True,12,19
sympy__sympy-20442,1abbc0ac3e552cb184317194e5d5c5b9dd8fb640,6,1,7,5,1,False,6,13
sympy__sympy-17022,f91de695585c1fbc7d4f49ee061f64fcb1c2c4d8,7,0,7,7,1,True,25,32
sympy__sympy-24066,514579c655bf22e2af14f0743376ae1d7befe345,3,4,7,-1,1,False,21,28
